EquipmentClassPropertyId,EquipmentPropertyId
ECP-MIX-CUR,EP-MIX-CUR
ECP-MIX-VISC,EP-MIX-VISC
ECP-MIX-TORQ,EP-MIX-TORQ
ECP-OVEN-TEMP,EP-OVEN-TEMP
ECP-OVEN-HUM,EP-OVEN-HUM
ECP-OVEN-PWR,EP-OVEN-PWR
ECP-TEMPERATURE,EP-TEMPERATURE
ECP-PRESSURE,EP-PRESSURE
ECP-VIB,EP-VIB
ECP-OVEN-CTRL,EP-OVEN-CTRL
ECP-OVEN-STATE,EP-OVEN-STATE
ECP-MIX-CTRL,EP-MIX-CTRL
ECP-MIX-STATE,EP-MIX-STATE
ECP-PACK-CTRL,EP-PACK-CTRL
ECP-PACK-STATE,EP-PACK-STATE
ECP-OVEN-ZONE-HEAT,EP-OVEN-ZONE-HEAT
ECP-MIX-MOTORSPEED,EP-MIX-MOTORSPEED
