EquipmentPropertyAssignmentID,EquipmentID,ProcessSegmentID,EquipmentPropertyID,SamplingMode,SamplingIntervalSeconds
EPA-001,EQ-MIX-01,BREAD-750G-MIX,EP-MIX-CUR,Periodic,5
EPA-002,EQ-MIX-01,BREAD-750G-MIX,EP-MIX-VISC,Periodic,10
EPA-003,EQ-MIX-01,BREAD-750G-MIX,EP-MIX-TORQ,Periodic,5
EPA-004,EQ-OVEN-01,BREAD-750G-BAKE,EP-OVEN-TEMP,Periodic,5
EPA-005,EQ-OVEN-01,BREAD-750G-BAKE,EP-OVEN-HUM,Periodic,10
EPA-006,EQ-OVEN-01,BREAD-750G-BAKE,EP-OVEN-PWR,Periodic,5
EPA-007,EQ-MIX-01,BREAD-750G-MIX,EP-VIB,Periodic,5
EPA-008,EQ-OVEN-01,BREAD-750G-BAKE,EP-VIB,Periodic,5
EPA-009,EQ-OVEN-01,BREAD-750G-BAKE,EP-CTRL,Periodic,5
EPA-010,EQ-MIX-01,BREAD-750G-MIX,EP-STATE,Periodic,30
EPA-011,EQ-OVEN-01,BREAD-750G-BAKE,EP-STATE,Periodic,30
EPA-012,EQ-PACKAGE-01,LOAF-750G-PACK,EP-STATE,Periodic,30
EPA-013,EQ-MIX-01,LOAF-750G-MIX,EP-MIX-CUR,Periodic,5
EPA-014,EQ-MIX-01,LOAF-750G-MIX,EP-MIX-VISC,Periodic,10
EPA-015,EQ-MIX-01,LOAF-750G-MIX,EP-MIX-TORQ,Periodic,5
EPA-016,EQ-OVEN-01,LOAF-750G-BAKE,EP-OVEN-TEMP,Periodic,5
EPA-017,EQ-OVEN-01,LOAF-750G-BAKE,EP-OVEN-HUM,Periodic,10
EPA-018,EQ-OVEN-01,LOAF-750G-BAKE,EP-OVEN-PWR,Periodic,5
EPA-019,EQ-MIX-01,LOAF-750G-MIX,EP-VIB,Periodic,5
EPA-020,EQ-OVEN-01,LOAF-750G-BAKE,EP-VIB,Periodic,5
EPA-021,EQ-OVEN-01,LOAF-750G-BAKE,EP-CTRL,Periodic,5
EPA-022,EQ-MIX-01,LOAF-750G-MIX,EP-STATE,Periodic,30
EPA-023,EQ-OVEN-01,LOAF-750G-BAKE,EP-STATE,Periodic,30
EPA-024,EQ-PACKAGE-01,LOAF-750G-PACK,EP-STATE,Periodic,30
EPA-025,EQ-MIX-01,PITA-200G-MIX,EP-MIX-CUR,Periodic,5
EPA-026,EQ-MIX-01,PITA-200G-MIX,EP-MIX-VISC,Periodic,10
EPA-027,EQ-MIX-01,PITA-200G-MIX,EP-MIX-TORQ,Periodic,5
EPA-028,EQ-OVEN-01,PITA-200G-BAKE,EP-OVEN-TEMP,Periodic,5
EPA-029,EQ-OVEN-01,PITA-200G-BAKE,EP-OVEN-HUM,Periodic,10
EPA-030,EQ-OVEN-01,PITA-200G-BAKE,EP-OVEN-PWR,Periodic,5
EPA-031,EQ-MIX-01,PITA-200G-MIX,EP-VIB,Periodic,5
EPA-032,EQ-OVEN-01,PITA-200G-BAKE,EP-VIB,Periodic,5
EPA-033,EQ-OVEN-01,PITA-200G-BAKE,EP-CTRL,Periodic,5
EPA-034,EQ-MIX-01,PITA-200G-MIX,EP-STATE,Periodic,30
EPA-035,EQ-OVEN-01,PITA-200G-BAKE,EP-STATE,Periodic,30
EPA-036,EQ-PACKAGE-01,PITA-200G-PACK,EP-STATE,Periodic,30
EPA-037,EQ-MIX-01,BAGUETTE-250G-MIX,EP-MIX-CUR,Periodic,5
EPA-038,EQ-MIX-01,BAGUETTE-250G-MIX,EP-MIX-VISC,Periodic,10
EPA-039,EQ-MIX-01,BAGUETTE-250G-MIX,EP-MIX-TORQ,Periodic,5
EPA-040,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-OVEN-TEMP,Periodic,5
EPA-041,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-OVEN-HUM,Periodic,10
EPA-042,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-OVEN-PWR,Periodic,5
EPA-043,EQ-MIX-01,BAGUETTE-250G-MIX,EP-VIB,Periodic,5
EPA-044,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-VIB,Periodic,5
EPA-045,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-CTRL,Periodic,5
EPA-046,EQ-MIX-01,BAGUETTE-250G-MIX,EP-STATE,Periodic,30
EPA-047,EQ-OVEN-01,BAGUETTE-250G-BAKE,EP-STATE,Periodic,30
EPA-048,EQ-PACKAGE-01,BAGUETTE-250G-PACK,EP-STATE,Periodic,30
