EquipmentUsageID,ProcessSegmentID,EquipmentID,EquipmentRole,CapacityPerRunEA
EU-001,BREAD-750G-MIX,EQ-MIX-01,Primary,400
EU-002,BREAD-750G-BAKE,EQ-OVEN-01,Primary,400
EU-003,LOAF-750G-MIX,EQ-MIX-01,Primary,400
EU-004,LOAF-750G-BAKE,EQ-OVEN-01,Primary,400
EU-005,BAGUETTE-250G-MIX,EQ-MIX-01,Primary,600
EU-006,BAGUETTE-250G-BAKE,EQ-OVEN-01,Primary,600
EU-007,PITA-200G-MIX,EQ-MIX-01,Primary,1000
EU-008,PITA-200G-BAKE,EQ-OVEN-01,Primary,1000
EU-009,BAGUETTE-250G-PACK,EQ-PACKAGE-01,Primary,600
EU-010,BREAD-750G-PACK,EQ-PACKAGE-01,Primary,400
EU-011,LOAF-750G-PACK,EQ-PACKAGE-01,Primary,400
EU-012,PITA-200G-PACK,EQ-PACKAGE-01,Primary,1000
EU-013,BREAD-750G-MIX,EQ-MIX-02,Primary,400
EU-014,BREAD-750G-BAKE,EQ-OVEN-02,Primary,400
EU-015,LOAF-750G-MIX,EQ-MIX-02,Primary,400
EU-016,LOAF-750G-BAKE,EQ-OVEN-02,Primary,400
EU-017,BAGUETTE-250G-MIX,EQ-MIX-02,Primary,600
EU-018,BAGUETTE-250G-BAKE,EQ-OVEN-02,Primary,600
EU-019,PITA-200G-MIX,EQ-MIX-02,Primary,1000
EU-020,PITA-200G-BAKE,EQ-OVEN-02,Primary,1000
EU-021,BAGUETTE-250G-PACK,EQ-PACKAGE-02,Primary,600
EU-022,BREAD-750G-PACK,EQ-PACKAGE-02,Primary,400
EU-023,LOAF-750G-PACK,EQ-PACKAGE-02,Primary,400
EU-024,PITA-200G-PACK,EQ-PACKAGE-02,Primary,1000
EU-025,BREAD-750G-MIX,EQ-MIX-03,Primary,400
EU-026,BREAD-750G-BAKE,EQ-OVEN-03,Primary,400
EU-027,LOAF-750G-MIX,EQ-MIX-03,Primary,400
EU-028,LOAF-750G-BAKE,EQ-OVEN-03,Primary,400
EU-029,BAGUETTE-250G-MIX,EQ-MIX-03,Primary,600
EU-030,BAGUETTE-250G-BAKE,EQ-OVEN-03,Primary,600
EU-031,PITA-200G-MIX,EQ-MIX-03,Primary,1000
EU-032,PITA-200G-BAKE,EQ-OVEN-03,Primary,1000
EU-033,BAGUETTE-250G-PACK,EQ-PACKAGE-03,Primary,600
EU-034,BREAD-750G-PACK,EQ-PACKAGE-03,Primary,400
EU-035,LOAF-750G-PACK,EQ-PACKAGE-03,Primary,400
EU-036,PITA-200G-PACK,EQ-PACKAGE-03,Primary,1000
