PK,Id,MaterialDefinitionId,Value,Description,ValueUnitOfMeasure
1,DefaultUnitOfMeasure,BAGUETTE-250G,g,DefaultUnitOfMeasure,g
2,DefaultUnitOfMeasure,BREAD-750G,g,DefaultUnitOfMeasure,g
3,DefaultUnitOfMeasure,LOAF-750G,g,DefaultUnitOfMeasure,g
4,DefaultUnitOfMeasure,PITA-200G,g,DefaultUnitOfMeasure,g
5,DefaultUnitOfMeasure,Flour_Type_550,g,DefaultUnitOfMeasure,g
6,DefaultUnitOfMeasureEA,CARTON_400EA,EA,DefaultUnitOfMeasure,EA
7,DefaultUnitOfMeasure,Paper,g,DefaultUnitOfMeasure,g
8,DefaultUnitOfMeasure,Salt,g,DefaultUnitOfMeasure,g
9,DefaultUnitOfMeasure,Water,g,DefaultUnitOfMeasure,g
10,DefaultUnitOfMeasure,Yeast,g,DefaultUnitOfMeasure,g
11,DefaultUnitOfMeasure,Dough,g,DefaultUnitOfMeasure,g
12,DefaultUnitOfMeasureEA,EURO_PALLET,EA,DefaultUnitOfMeasure,EA
13,MC1-BAGUETTE-250G,BAGUETTE-250G,MC1,MaterialCode,NA
14,MC2-BREAD-750G,BREAD-750G,MC2,MaterialCode,NA
15,MC3-LOAF-750G,LOAF-750G,MC3,MaterialCode,NA
16,MC4-PITA-200G,PITA-200G,MC4,MaterialCode,NA
17,MC5-Flour_Type_550,Flour_Type_550,MC5,MaterialCode,NA
18,MC6-CARTON_400EA,CARTON_400EA,MC6,MaterialCode,NA
19,MC7-Paper,Paper,MC7,MaterialCode,NA
20,MC8-Salt,Salt,MC8,MaterialCode,NA
21,MC9-Water,Water,MC9,MaterialCode,NA
22,MC10-Yeast,Yeast,MC10,MaterialCode,NA
23,MC11-Dough,Dough,MC11,MaterialCode,NA
24,MC12-EURO_PALLET,EURO_PALLET,MC12,MaterialCode,NA
