OperationsEventDefinitionID,OperationsEventDefinitionPropertyId,Value,valueUnitOfMeasure
OED-UD-OVERTEMP,ErrorCode,OvenOverTemperature,NA
OED-UD-MIXFAIL,ErrorCode,MixerFailure,NA
OED-UD-POWER,ErrorCode,PowerLoss,NA
OED-UD-BEARING,ErrorCode,BearingOverheat,NA
OED-UD-BELT,ErrorCode,DriveBeltFailure,NA
OED-UD-SENSOR,ErrorCode,SensorFailure,NA
OED-UD-LUBE,ErrorCode,LubricationFault,NA
OED-UTIL-GAS,ErrorCode,GasSupplyLoss,NA
OED-UTIL-WATER,ErrorCode,WaterPressureLow,NA
OED-SCR-BURN,ErrorCode,BurnedProduct,NA
OED-SCR-UNDER,ErrorCode,UnderbakedProduct,NA
OED-SCR-CONT,ErrorCode,Contamination,NA
OED-QC-FAIL,ErrorCode,QualityCheckFailure,NA
OED-QC-ALLERGEN,ErrorCode,AllergenRisk,NA
OED-QC-LABEL,ErrorCode,LabelingError,NA
OED-PROC-TEMPDEV,ErrorCode,TemperatureDeviation,NA
OED-PROC-TIMEDEV,ErrorCode,ProcessTimeDeviation,NA
OED-PROC-MIXERR,ErrorCode,MixingError,NA
OED-PROC-FLOW,ErrorCode,IngredientFlowError,NA
OED-MAT-SHORT,ErrorCode,MaterialShortage,NA
OED-MAT-EXPIRED,ErrorCode,MaterialExpired,NA
OED-MAT-CONT,ErrorCode,MaterialContaminated,NA
OED-ENV-TEMP,ErrorCode,AmbientTempHigh,NA
OED-PLAN-DELAY,EventCode,ScheduleDelay,NA
OED-PLAN-OVERRUN,EventCode,RunTimeOverrun,NA
OED-PLAN-CANCEL,EventCode,OrderCancelled,NA
OED-PROD-MIX-START,EventCode,MixingStart,NA
OED-PROD-MIX-END,EventCode,MixingEnd,NA
OED-PROD-BAKE-START,EventCode,BAKEingStart,NA
OED-PROD-BAKE-END,EventCode,BAKEingEnd,NA
OED-PROD-PACK-START,EventCode,PACKingStart,NA
OED-PROD-PACK-END,EventCode,PACKingEnd,NA
OED-UD-OVERTEMP,Severity,Critical,NA
OED-UD-MIXFAIL,Severity,High,NA
OED-UD-POWER,Severity,Critical,NA
OED-UD-BEARING,Severity,High,NA
OED-UD-BELT,Severity,High,NA
OED-UD-SENSOR,Severity,Medium,NA
OED-UD-LUBE,Severity,Medium,NA
OED-UTIL-GAS,Severity,Medium,NA
OED-UTIL-WATER,Severity,Low,NA
OED-SCR-BURN,Severity,Critical,NA
OED-SCR-UNDER,Severity,High,NA
OED-SCR-CONT,Severity,Critical,NA
OED-QC-FAIL,Severity,Medium,NA
OED-QC-ALLERGEN,Severity,Medium,NA
OED-QC-LABEL,Severity,Low,NA
OED-PROC-TEMPDEV,Severity,Low,NA
OED-PROC-TIMEDEV,Severity,Medium,NA
OED-PROC-MIXERR,Severity,Medium,NA
OED-PROC-FLOW,Severity,Medium,NA
OED-MAT-SHORT,Severity,Medium,NA
OED-MAT-EXPIRED,Severity,Critical,NA
OED-MAT-CONT,Severity,Critical,NA
OED-ENV-TEMP,Severity,Medium,NA
OED-PLAN-DELAY,Severity,Medium,NA
OED-PLAN-OVERRUN,Severity,Medium,NA
OED-PLAN-CANCEL,Severity,Critical,NA
OED-PROD-MIX-START,Severity,High,NA
OED-PROD-MIX-END,Severity,High,NA
OED-PROD-BAKE-START,Severity,High,NA
OED-PROD-BAKE-END,Severity,High,NA
OED-PROD-PACK-START,Severity,High,NA
OED-PROD-PACK-END,Severity,High,NA
OED-UD-OVERTEMP,Duration,2,minutes
OED-UD-MIXFAIL,Duration,3,minutes
OED-UD-POWER,Duration,2,minutes
OED-UD-BEARING,Duration,2,minutes
OED-UD-BELT,Duration,2,minutes
OED-UD-SENSOR,Duration,1,minutes
OED-UD-LUBE,Duration,2,minutes
OED-UTIL-GAS,Duration,2,minutes
OED-UTIL-WATER,Duration,2,minutes
OED-SCR-BURN,Duration,2,minutes
OED-SCR-UNDER,Duration,2,minutes
OED-SCR-CONT,Duration,2,minutes
OED-QC-FAIL,Duration,2,minutes
OED-QC-ALLERGEN,Duration,2,minutes
OED-QC-LABEL,Duration,2,minutes
OED-PROC-TEMPDEV,Duration,2,minutes
OED-PROC-TIMEDEV,Duration,2,minutes
OED-PROC-MIXERR,Duration,2,minutes
OED-PROC-FLOW,Duration,2,minutes
OED-MAT-SHORT,Duration,2,minutes
OED-MAT-EXPIRED,Duration,2,minutes
OED-MAT-CONT,Duration,2,minutes
OED-ENV-TEMP,Duration,2,minutes
