ProcessSegmentID,ProcessSegmentName,ProductMaterialID,Sequence,DurationHours,ProcessSegmentDescription
BAGUETTE-250G-MIX,Dough Mixing,BAGUETTE-250G,10,1.8,
BREAD-750G-MIX,Dough Mixing,BREAD-750G,10,2,
LOAF-750G-MIX,Dough Mixing,LOAF-750G,10,2,
PITA-200G-MIX,Dough Mixing,PITA-200G,10,1.5,
MAINT-LUBE-GREASE-MIXER,Mixer grease lubrication,,10,0.5,
MAINT-LUBE-GREASE-OVEN,Over lubrication grease,,10,1,
MAINT-ROLLE-PACK,Exchange Label Roll,,10,0.5,
MAINT-LUBE-OIL-OVEN,Oven oil lubrication,,10,1,
BAGUETTE-250G-BAKE,Baking,BAGUETTE-250G,20,1.6,
BREAD-750G-BAKE,Baking,BREAD-750G,20,2,
LOAF-750G-BAKE,Baking,LOAF-750G,20,2,
PITA-200G-BAKE,Baking,PITA-200G,20,1,
MAINT-LUBE-OIL-MIXER,Mixer Oil lubrication,,20,1,
MAINT-LUBE-GREASE-PACK,Packaging grease lubrication,,20,1,
BAGUETTE-250G-PACK,Packaging,BAGUETTE-250G,30,0.5,
BREAD-750G-PACK,Packaging,BREAD-750G,30,1,
LOAF-750G-PACK,Packaging,LOAF-750G,30,1,
PITA-200G-PACK,Packaging,PITA-200G,30,0.75,
