BOMLineID,ProcessSegmentID,MaterialID,MaterialQtyPerUnit,MaterialUoM
BOM-001,BREAD-750G-MIX,Flour_Type_550,0.75,kg
BOM-002,BREAD-750G-MIX,Water,0.45,l
BOM-003,BREAD-750G-MIX,Yeast,0.018,kg
BOM-004,BREAD-750G-MIX,Salt,0.0075,kg
BOM-005,BREAD-750G-BAKE,Dough,1.0,EA
BOM-006,LOAF-750G-MIX,Flour_Type_550,0.75,kg
BOM-007,LOAF-750G-MIX,Water,0.45,l
BOM-008,LOAF-750G-MIX,Yeast,0.018,kg
BOM-009,LOAF-750G-MIX,Salt,0.0075,kg
BOM-010,LOAF-750G-BAKE,Dough,1.0,EA
BOM-011,BAGUETTE-250G-MIX,Flour_Type_550,0.23,kg
BOM-012,BAGUETTE-250G-MIX,Water,0.15,l
BOM-013,BAGUETTE-250G-MIX,Yeast,0.0046,kg
BOM-014,BAGUETTE-250G-MIX,Salt,0.0023,kg
BOM-015,BAGUETTE-250G-BAKE,Dough,1.0,EA
BOM-016,PITA-200G-MIX,Flour_Type_550,0.18,kg
BOM-017,PITA-200G-MIX,Water,0.11,l
BOM-018,PITA-200G-MIX,Yeast,0.0036,kg
BOM-019,PITA-200G-MIX,Salt,0.0018,kg
BOM-020,PITA-200G-BAKE,Dough,1.0,EA
