EquipmentUsageID,ProcessSegmentID,EquipmentID,EquipmentRole,CapacityPerRunEA
EU-001,BREAD-750G-MIX,EQ-MIX-01,Primary,400
EU-002,BREAD-750G-BAKE,EQ-OVEN-01,Primary,400
EU-003,LOAF-750G-MIX,EQ-MIX-01,Primary,400
EU-004,LOAF-750G-BAKE,EQ-OVEN-01,Primary,400
EU-005,BAGUETTE-250G-MIX,EQ-MIX-01,Primary,600
EU-006,BAGUETTE-250G-BAKE,EQ-OVEN-01,Primary,600
EU-007,PITA-200G-MIX,EQ-MIX-01,Primary,1000
EU-008,PITA-200G-BAKE,EQ-OVEN-01,Primary,1000
EU-009,BAGUETTE-250G-PACK,EQ-PACKAGE-01,Primary,600
EU-010,BREAD-750G-PACK,EQ-PACKAGE-01,Primary,400
EU-011,LOAF-750G-PACK,EQ-PACKAGE-01,Primary,400
EU-012,PITA-200G-PACK,EQ-PACKAGE-01,Primary,1000
