MaintenanceBOMID,EquipmentID,ProcessSegmentID,MaterialID,QtyPerUnit,PersonQuantity,EmployeeID,PersonClassID,UoM,MaterialUse
MBOM-1773669296846,EQ-MIX-01,MAINT-LUBE-GREASE-MIXER,LUBE-GREASE,100,1,,PCLASS_MAINT,g,CONSUME
MBOM-1773669555363,EQ-MIX-01,MAINT-LUBE-OIL-MIXER,LUBE-OIL,100,1,,PCLASS_MAINT,l,CONSUME
MBOM-1773669749512,EQ-OVEN-01,MAINT-LUBE-GREASE-OVEN,LUBE-GREASE,1000,1,EMP003,,g,CONSUME
MBOM-1773669777256,EQ-OVEN-01,MAINT-LUBE-GREASE-OVEN,LUBE-OIL,900,1,EMP002,,l,CONSUME
MBOM-1773670050515,EQ-PACKAGE-01,MAINT-ROLLE-PACK,PACK-LABEL-ROLL,1,1,EMP002,,l,CONSUME
MBOM-1773670079032,EQ-PACKAGE-01,MAINT-LUBE-GREASE-PACK,LUBE-GREASE,900,1,EMP003,,g,CONSUME
MBOM-EQ-MIX-03-1773670262682-0,EQ-MIX-03,MAINT-LUBE-GREASE-MIXER,LUBE-GREASE,70,1,,PCLASS_MAINT,g,CONSUME
MBOM-EQ-MIX-03-1773670262682-1,EQ-MIX-03,MAINT-LUBE-OIL-MIXER,LUBE-OIL,90,1,,PCLASS_MAINT,l,CONSUME
MBOM-EQ-MIX-02-1773670273965-0,EQ-MIX-02,MAINT-LUBE-GREASE-MIXER,LUBE-GREASE,50,1,,PCLASS_MAINT,g,CONSUME
MBOM-EQ-MIX-02-1773670273965-1,EQ-MIX-02,MAINT-LUBE-OIL-MIXER,LUBE-OIL,90,1,,PCLASS_MAINT,l,CONSUME
MBOM-EQ-OVEN-02-1773671305204-0,EQ-OVEN-02,MAINT-LUBE-GREASE-OVEN,LUBE-GREASE,900,1,EMP003,,g,CONSUME
MBOM-EQ-OVEN-02-1773671305204-1,EQ-OVEN-02,MAINT-LUBE-GREASE-OVEN,LUBE-OIL,800,1,EMP002,,l,CONSUME
MBOM-EQ-OVEN-03-1773671316788-0,EQ-OVEN-03,MAINT-LUBE-GREASE-OVEN,LUBE-GREASE,1100,1,EMP003,,g,CONSUME
MBOM-EQ-OVEN-03-1773671316788-1,EQ-OVEN-03,MAINT-LUBE-GREASE-OVEN,LUBE-OIL,950,1,EMP002,,l,CONSUME
MBOM-EQ-PACKAGE-02-1773671327392-0,EQ-PACKAGE-02,MAINT-ROLLE-PACK,PACK-LABEL-ROLL,1,1,EMP002,,l,CONSUME
MBOM-EQ-PACKAGE-02-1773671327392-1,EQ-PACKAGE-02,MAINT-LUBE-GREASE-PACK,LUBE-GREASE,950,1,EMP003,,g,CONSUME
MBOM-EQ-PACKAGE-03-1773671332584-0,EQ-PACKAGE-03,MAINT-ROLLE-PACK,PACK-LABEL-ROLL,1,1,EMP002,,l,CONSUME
MBOM-EQ-PACKAGE-03-1773671332584-1,EQ-PACKAGE-03,MAINT-LUBE-GREASE-PACK,LUBE-GREASE,800,1,EMP003,,g,CONSUME
