MaterialClassId,MaterialClassPropertyId,sourceTimeStamp
FINISHEDPRODUCT,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
FINISHEDPRODUCT,MCP-MaterialCode,2026-01-01T22:30:00.000Z
FINISHEDPRODUCT,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
INPROCESSMATERIAL,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
INPROCESSMATERIAL,MCP-MaterialCode,2026-01-01T22:30:00.000Z
INPROCESSMATERIAL,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
MAINTENANCE,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
MAINTENANCE,MCP-MaterialCode,2026-01-01T22:30:00.000Z
MAINTENANCE,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
PACKMATERIAL,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
PACKMATERIAL,MCP-MaterialCode,2026-01-01T22:30:00.000Z
PACKMATERIAL,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
RAWMATERIAL,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
RAWMATERIAL,MCP-MaterialCode,2026-01-01T22:30:00.000Z
RAWMATERIAL,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
TRANSPORTMATERIAL,MCP-DefaultUnitOfMeasure,2026-01-01T22:30:00.000Z
TRANSPORTMATERIAL,MCP-MaterialCode,2026-01-01T22:30:00.000Z
TRANSPORTMATERIAL,MCP-DefaultUnitOfMeasureEA,2026-01-01T22:30:00.000Z
