id,Value,Description,ValueUnitOfMeasure
DefaultUnitOfMeasure,g,DefaultUnitOfMeasure,g
MC1-BAGUETTE-250G,MC1,MaterialCode,NA
MC2-BREAD-750G,MC2,MaterialCode,NA
MC3-LOAF-750G,MC3,MaterialCode,NA
MC4-PITA-200G,MC4,MaterialCode,NA
MC5-Flour_Type_550,MC5,MaterialCode,NA
MC6-CARTON_400EA,MC6,MaterialCode,NA
MC7-Paper,MC7,MaterialCode,NA
MC8-Salt,MC8,MaterialCode,NA
MC9-Water,MC9,MaterialCode,NA
MC10-Yeast,MC10,MaterialCode,NA
MC11-Dough,MC11,MaterialCode,NA
MC12-EURO_PALLET,MC12,MaterialCode,NA
DefaultUnitOfMeasureEA,EA,DefaultUnitOfMeasure,EA
