MaterialLotID,MaterialID,LotQuantity,LotUoM,ReceivedDateTime,ProducedDateTime,SupplierOrProducerID,SupplierOrProducerName,ProducedByProcessSegmentID
DOUGH-LOT-BAG-A,Dough,800,EA,,1/5/2026 10:00,,,BAGUETTE-250G-MIX
DOUGH-LOT-BREAD-A,Dough,800,EA,,1/5/2026 10:00,,,BREAD-750G-MIX
DOUGH-LOT-LOAF-A,Dough,800,EA,,1/5/2026 10:00,,,LOAF-750G-MIX
DOUGH-LOT-PITA-A,Dough,800,EA,,1/5/2026 10:00,,,PITA-200G-MIX
FG-LOT-BAGUETTE-250G-20260105,BAGUETTE-250G,800,EA,,1/5/2026 12:00,,,BAGUETTE-250G-BAKE
FG-LOT-BREAD-750G-20260105,BREAD-750G,800,EA,,1/5/2026 12:00,,,BREAD-750G-BAKE
FG-LOT-LOAF-750G-20260105,LOAF-750G,800,EA,,1/5/2026 12:00,,,LOAF-750G-BAKE
FG-LOT-PITA-200G-20260105,PITA-200G,800,EA,,1/5/2026 12:00,,,PITA-200G-BAKE
FLOUR-LOT-A,Flour_Type_550,1000,kg,1/3/2026 0:00,,SUP-MILL-NORTH,Mill North,
SALT-LOT-A,Salt,1000,kg,1/3/2026 0:00,,SUP-SALTWORKS,SaltWorks,
WATER-LOT-A,Water,1000,l,1/3/2026 0:00,,SUP-CITY-WATER,City Supply,
YEAST-LOT-A,Yeast,1000,kg,1/3/2026 0:00,,SUP-YEASTCO,YeastCo,
