MaterialID,MaterialName,MaterialClassID,MaterialDescription
Flour_Type_550,Flour Type 550,RAWMATERIAL,Standard wheat flour type 550
Salt,Salt,RAWMATERIAL,Food-grade salt
Water,Water,RAWMATERIAL,Potable process water
Yeast,Yeast,RAWMATERIAL,Baker's yeast for fermentation
Dough,Dough,INPROCESSMATERIAL,Mixed and fermented dough
BAGUETTE-250G,Baguette 250g,FINISHEDPRODUCT,Traditional baguette, 250g
PITA-200G,Pita 200g,FINISHEDPRODUCT,Flatbread pita, 200g
BREAD-750G,Wheat Bread 750g,FINISHEDPRODUCT,Wheat bread, 750g
LOAF-750G,Wheat Loaf 750g,FINISHEDPRODUCT,Wheat loaf, 750g
LUBE-GREASE,Bearing grease,MAINTENANCE,Bearing grease
CARTON_400EA,Caerton 400EA,PACKMATERIAL,Carton box 400
EURO_PALLET,EURO Pallet,TRANSPORTMATERIAL,Euro Pallet
LUBE-OIL,Gear oil,MAINTENANCE,Lubrication Gear oil
PACK-LABEL-ROLL,Label roll,MAINTENANCE,Label roll
MIX-BEARING,Mixer bearing,MAINTENANCE,Mixer bearing
Paper,Paper,PACKMATERIAL,Paper for packaging
