Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Requirement,SR1_OR06012026,Material requirement,SR1_OR06012026_WFT500consumed50000,containsMaterial
Segment Requirement,SR1_OR06012026,Material requirement,SR1_OR06012026_YEAST1consumed1000,containsMaterial
Segment Requirement,SR1_OR07012026,Material requirement,SR1_OR07012026_WFT500consumed50000,containsMaterial
Segment Requirement,SR1_OR07012026,Material requirement,SR1_OR07012026_YEAST1consumed1000,containsMaterial
Segment Requirement,SR1_OR06012026,Material requirement,SR1_OR06012026_WDOUGHproduced75000g,containsMaterial
Segment Requirement,SR1_OR07012026,Material requirement,SR1_OR07012026_WDOUGHproduced50000g,containsMaterial
Segment Requirement,SR2_OR06012026,Material requirement,SR2_OR06012026_WDOUGHconsumed75000g,containsMaterial
Segment Requirement,SR2_OR07012026,Material requirement,SR2_OR07012026_WDOUGHconsumed50000g,containsMaterial
Segment Requirement,SR2_OR06012026,Material requirement,SR2_OR06012026_BREADW750produced75000g,containsMaterial
Segment Requirement,SR2_OR07012026,Material requirement,SR2_OR07012026_PIT500produced50000g,containsMaterial
